cur,regime,n,ppp,uip,resid,cs_removable
CAD,floating,44,0.037292678169068415,0.005659155282883768,0.9570481665480478,0.042951833451952186
SEK,floating,44,-0.0005029566816514875,0.06749112777224184,0.9330118289094096,0.06698817109059035
DKK,anchored_EUR,45,0.042212661483351246,0.08906426341463433,0.8687230751020144,0.1312769248979856
KRW,floating,28,0.039172388447103676,0.021042719319172044,0.9397848922337243,0.06021510776627572
