cur,regime,n,hl,adf_p,qvar
HKD,anchored_USD,44,3.495765715419027,0.6810153602508274,0.050685598054661704
CAD,floating,55,4.4347947581922185,0.1787492900882015,0.07379871447453554
SEK,floating,55,7.075378729374828,0.21497255272230864,0.12341406577084081
DKK,EUR_anchored,55,3.8147418353375384,0.04982870145437223,0.10943673557193861
KRW,floating,43,5.517493060598368,0.3730173155381633,0.14291286216372082
CHF,soft_float,55,15.800468147380755,0.38789718188625405,0.11431978929231676
