cur,regime,n,hl_mo,rho,adf_p,qvar,note
HKD,anchored_USD,547,16.34706361600484,0.9584844516606172,3.7741221912447773e-14,0.02772635932300957,NOMINAL(no CPI)
DKK,EUR_anchored,652,58.477700943852604,0.9882167843379367,0.3126073412838015,0.10426110599711287,
CAD,floating,651,68.08099350869998,0.9898704388762783,0.2510188873199851,0.06694405031069195,
SEK,floating,651,124.74141452649936,0.99445873730612,0.4694631617487886,0.10837844926898525,
CHF,soft_float,652,189.12575906152892,0.9963417012056563,0.3635333832870421,0.11433061124519611,
KRW,floating,512,87.76331713180181,0.9921331920169902,0.42017238364876913,0.11630381662947985,
JPY,floating,606,294.64412702905474,0.9976502755516966,0.6429898594544634,0.10823413882849063,
