date,SAV,STDSL,MA
1975-01-01,150.4391678447335,289.6,440.0391678447335
1975-02-01,152.06628258402577,293.0,445.06628258402577
1975-03-01,156.24714011752926,297.8,454.04714011752924
1975-04-01,160.39490379192853,303.0,463.3949037919285
1975-05-01,162.4081135541037,307.3,469.7081135541037
1975-06-01,166.83717503088909,312.3,479.1371750308891
1975-07-01,169.4957150455971,318.2,487.6957150455971
1975-08-01,169.66118434111837,322.3,491.9611843411184
1975-09-01,170.05831065036932,325.7,495.7583106503693
1975-10-01,171.75712875105413,329.4,501.1571287510541
1975-11-01,172.3362712853785,333.1,505.43627128537855
1975-12-01,174.97826437053442,337.9,512.8782643705345
1976-01-01,179.47902920871232,341.5,520.9790292087123
1976-02-01,186.34600497284407,344.7,531.046004972844
1976-03-01,192.73863542314822,346.6,539.3386354231483
1976-04-01,198.37010711405463,350.3,548.6701071140546
1976-05-01,201.03416277194674,355.8,556.8341627719467
1976-06-01,201.84496232000083,359.4,561.2449623200008
1976-07-01,203.4444988433729,363.7,567.144498843373
1976-08-01,205.11573872813747,369.3,574.4157387281375
1976-09-01,207.36060550404238,375.8,583.1606055040425
1976-10-01,211.60765075575438,381.4,593.0076507557544
1976-11-01,214.80120815931446,385.7,600.5012081593145
1976-12-01,219.19166013381152,390.7,609.8916601338115
1977-01-01,224.3984272995468,396.1,620.4984272995468
1977-02-01,227.8236417168366,401.0,628.8236417168366
1977-03-01,231.85006124118692,406.6,638.450061241187
1977-04-01,235.573120390415,412.0,647.5731203904149
1977-05-01,236.11365342245108,417.6,653.7136534224511
1977-06-01,236.7589836749839,423.0,659.7589836749839
1977-07-01,238.02758160731346,427.5,665.5275816073134
1977-08-01,238.78322472352713,431.4,670.1832247235271
1977-09-01,238.79977165307932,435.3,674.0997716530793
1977-10-01,239.79810306939083,438.7,678.4981030693908
1977-11-01,238.5515677097974,441.4,679.9515677097974
1977-12-01,238.1654726869145,445.4,683.5654726869145
1978-01-01,240.32760481505878,448.8,689.1276048150588
