year,m2_billions_usd,gdp_nominal_billions_usd,real_gdp_growth_pct,population_millions,cpi_u_index_1982_84_eq_100,cpi_decdec_pct,sp500_nominal_total_return_pct,sp500_real_total_return_pct
2010,8800.4,15049.0,2.7,309.3,218.056,1.50,14.82,13.1232
2011,9648.3,15599.7,1.5,311.6,224.939,3.00,2.10,-0.8738
2012,10463.9,16254.0,2.3,313.9,229.594,1.70,15.89,13.9528
2013,10999.4,16880.7,2.1,316.1,232.957,1.50,32.15,30.1970
2014,11671.7,17608.1,2.5,318.4,236.736,0.80,13.52,12.6190
2015,12343.8,18295.0,2.7,320.7,237.017,0.70,1.38,0.6753
2016,13211.4,18804.9,1.8,323.1,240.007,2.10,11.77,9.4711
2017,13855.0,19612.1,2.5,325.1,245.120,2.10,21.61,19.1087
2018,14373.6,20656.5,3.0,326.7,251.107,1.90,-4.23,-6.0157
2019,15315.0,21540.0,2.6,328.2,255.657,2.30,31.21,28.2600
2020,19105.8,21375.3,-2.2,331.5,258.811,1.40,18.02,16.3905
2021,21551.2,23725.6,6.2,332.0,270.970,7.00,28.47,20.0654
2022,21487.5,26054.6,2.5,333.3,292.655,6.50,-18.04,-23.0423
2023,20860.9,27811.5,2.9,336.8,304.702,3.40,26.06,21.9149
2024,21494.9,29298.0,2.8,340.1,313.689,2.90,24.88,21.3605
2025,22366.2,30762.1,2.2,341.8,321.900,2.70,17.78,14.6835
